,公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,行政區,區域,品牌
6239,22853565,來來超商股份有限公司,80347308,第七五六分公司,臺北市士林區天母北路８９號１樓,1,臺北市,北,OK
6240,22853565,來來超商股份有限公司,80349489,第七六一分公司,桃園市平鎮區復旦路２段２３巷１號１樓,1,桃園市,北,OK
6241,22853565,來來超商股份有限公司,80350226,第七五九分公司,高雄市左營區重立路１５８號１樓,1,高雄市,南,OK
6242,22853565,來來超商股份有限公司,80351787,第七六七分公司,臺中市東區樂業路２８６號１樓,1,臺中市,中,OK
6243,22853565,來來超商股份有限公司,80353440,第七七四分公司,臺中市大里區工業二路１０２、１０６號１樓,1,臺中市,中,OK
6244,22853565,來來超商股份有限公司,80353455,第七七三分公司,高雄市三民區大昌一路１８８號１樓,1,高雄市,南,OK
6245,22853565,來來超商股份有限公司,80354399,第七四四分公司,新竹縣湖口鄉千禧路２巷２號１樓,1,新竹縣,北,OK
6246,22853565,來來超商股份有限公司,80355025,第七六五分公司,新北市樹林區保安二街４０號１樓,1,新北市,北,OK
6247,22853565,來來超商股份有限公司,80355405,第五十八分公司,桃園市平鎮區湧光路４４８、４５０號１樓,1,桃園市,北,OK
6248,22853565,來來超商股份有限公司,80357023,第一一四分公司,新北市中和區員山路４６８號１樓,1,新北市,北,OK
6249,22853565,來來超商股份有限公司,80357488,第一二九分公司,新竹縣關西鎮十六張１１１號１樓,1,新竹縣,北,OK
6250,22853565,來來超商股份有限公司,80358326,第一０三分公司,新竹縣新豐鄉福興村九鄰十一股９３號１樓,1,新竹縣,北,OK
6251,22853565,來來超商股份有限公司,80358331,第十八分公司,新北市板橋區莊敬路１６８號１樓,1,新北市,北,OK
6252,22853565,來來超商股份有限公司,80358347,第十三分公司,桃園市大園區�漯L里９－９號１樓,1,桃園市,北,OK
6253,22853565,來來超商股份有限公司,80492597,第五四八分公司,新竹縣竹東鎮中豐路３段１３４號１樓,1,新竹縣,北,OK
6254,22853565,來來超商股份有限公司,80493195,第五０六分公司,新竹縣橫山鄉內灣村中正路７９號１樓,1,新竹縣,北,OK
6255,22853565,來來超商股份有限公司,80500490,第五八九分公司,臺北市南港區研究院路２段２３０號１樓,1,臺北市,北,OK
6256,22853565,來來超商股份有限公司,80505690,第六０九分公司,桃園市新屋區中山西路１段５７２號１樓,1,桃園市,北,OK
6257,22853565,來來超商股份有限公司,80509808,第五九四分公司,彰化縣彰化市彰南路二段一００號一樓,1,彰化縣,中,OK
6258,22853565,來來超商股份有限公司,80509865,第六一五分公司,臺北市大安區金華街２４１－１號１樓,1,臺北市,北,OK
6259,22853565,來來超商股份有限公司,80510954,第六二九分公司,新北市淡水區民生路１１９號１樓,1,新北市,北,OK
6260,22853565,來來超商股份有限公司,80514277,第六四七分公司,臺中市北區進化路６２８號１樓,1,臺中市,中,OK
6261,22853565,來來超商股份有限公司,80516394,第四六九分公司,基隆市七堵區明德三路４５號１樓,1,基隆市,北,OK
6262,22853565,來來超商股份有限公司,80522403,第七八二分公司,彰化縣北斗鎮中山路１段９０號１樓,1,彰化縣,中,OK
6263,22853565,來來超商股份有限公司,80523254,第七八三分公司,臺北市大同區南京西路２５８號１樓,1,臺北市,北,OK
6264,22853565,來來超商股份有限公司,80524850,第六三七分公司,新北市板橋區僑中二街９０巷２號１樓,1,新北市,北,OK
6265,22853565,來來超商股份有限公司,80525801,第七八八分公司,新竹縣芎林鄉富林路２段６０３號１樓,1,新竹縣,北,OK
6266,22853565,來來超商股份有限公司,80527884,第七八七分公司,臺中市豐原區西勢路１９８號１樓,1,臺中市,中,OK
6267,22853565,來來超商股份有限公司,80532134,第七八九分公司,桃園市平鎮區和平路１１７號１樓,1,桃園市,北,OK
6268,22853565,來來超商股份有限公司,80539191,第七八五分公司,新北市淡水區新民街１２２號１樓,1,新北市,北,OK
6269,22853565,來來超商股份有限公司,80649970,第七九六分公司,臺北市士林區延平北路５段１７７號１樓,1,臺北市,北,OK
6270,22853565,來來超商股份有限公司,80656155,第七九三分公司,桃園市龜山區萬壽路二段六八０之二號一樓,1,桃園市,北,OK
6271,22853565,來來超商股份有限公司,80662142,第二０一分公司,新北市板橋區四川路２段２４５巷５３號１樓,1,新北市,北,OK
6272,22853565,來來超商股份有限公司,80662157,第一三０分公司,新北市三重區過圳街14、16號1樓,1,新北市,北,OK
6273,22853565,來來超商股份有限公司,80677980,第八０五分公司,臺中市北區漢口路３段５０號１樓,1,臺中市,中,OK
6274,22853565,來來超商股份有限公司,80697901,第八０八分公司,桃園市桃園區中華路１６６號１樓,1,桃園市,北,OK
6275,22853565,來來超商股份有限公司,84250327,第一三六分公司,臺北市南港區成福路４４號１樓,1,臺北市,北,OK
6276,22853565,來來超商股份有限公司,84251331,第１３９分公司,桃園市楊梅區永美路１６３號１樓,1,桃園市,北,OK
6277,22853565,來來超商股份有限公司,84251439,第一三八分公司,基隆市仁愛區華三街２０號１樓,1,基隆市,北,OK
6278,22853565,來來超商股份有限公司,84251938,第一四０分公司,臺北市文山區景興街４０號１樓,1,臺北市,北,OK
6279,22853565,來來超商股份有限公司,84253979,第一四二分公司,桃園市大園區果林里拔子林２３之１號１樓,1,桃園市,北,OK
6280,22853565,來來超商股份有限公司,84446646,第一四七分公司,桃園市中壢區王子街５０號１樓,1,桃園市,北,OK
6281,22853565,來來超商股份有限公司,84448412,第１４９分公司,基隆市仁愛區南新街６０號１樓,1,基隆市,北,OK
6282,22853565,來來超商股份有限公司,84703481,第一五一分公司,臺北市北投區致遠一路１段４４號１樓,1,臺北市,北,OK
6283,22853565,來來超商股份有限公司,84706403,第一五六分公司,新北市中和區德光路７０號１樓,1,新北市,北,OK
6284,22853565,來來超商股份有限公司,84708444,第一五八分公司,臺中市北區健行路７０１號１樓,1,臺中市,中,OK
6285,22853565,來來超商股份有限公司,84710618,第一五九分公司,新北市三重區中正北路１４７號１樓,1,新北市,北,OK
6286,22853565,來來超商股份有限公司,84711264,第１６０分公司,臺中市豐原區圓環東路３２１號１樓,1,臺中市,中,OK
6287,22853565,來來超商股份有限公司,84893911,第一六四分公司,新北市土城區延吉街１７０號１樓,1,新北市,北,OK
6288,22853565,來來超商股份有限公司,84895609,第一六七分公司,新竹縣湖口鄉中正路１段１０４號１樓,1,新竹縣,北,OK
6289,22853565,來來超商股份有限公司,84896430,第一六九分公司,臺中市北屯區綏遠路２段２１６號１樓,1,臺中市,中,OK
6290,22853565,來來超商股份有限公司,84896585,第一七０分公司,新北市新莊區四維路２１５號１樓,1,新北市,北,OK
6291,22853565,來來超商股份有限公司,84897135,第一七一分公司,臺中市北區西屯路３５７號１樓,1,臺中市,中,OK
6292,22853565,來來超商股份有限公司,84898388,第一七二分公司,臺中市南屯區向心南路９８３號１樓,1,臺中市,中,OK
6293,22853565,來來超商股份有限公司,86381470,第１１５分公司,臺中市龍井區新東村國際街１３８號１樓,1,臺中市,中,OK
6294,22853565,來來超商股份有限公司,86381598,第一一六分公司,新北市新莊區四維路１２３~１號１樓,1,新北市,北,OK
