公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lng,lat
22853565,來來超商股份有限公司,54380294,第一一一七分公司,桃園市龍潭區龍華路8號、北龍路126巷3號,1,121.214661,24.8662597
22853565,來來超商股份有限公司,54380935,第一一三七分公司,高雄市新興區8德1路320、322號,1,120.3047579,22.6359249
22853565,來來超商股份有限公司,54381420,第一一二0分公司,高雄市鳥松區松埔北巷2之23、2之24號,3,120.373807,22.6662181
22853565,來來超商股份有限公司,54381688,第一一二五分公司,新北市泰山區明志路3段357、359號,1,121.4219581,25.0350152
22853565,來來超商股份有限公司,54381701,第一一三九分公司,桃園市中壢區元化路2段31、33號,1,121.2219697,24.9623575
22853565,來來超商股份有限公司,54381929,第一一四二分公司,新北市新莊區8德街112、114號,3,121.4240638,25.0211185
22853565,來來超商股份有限公司,54382639,第一一三0分公司,新北市中和區永和路2段272、274號,3,121.4998028,25.0028959
22853565,來來超商股份有限公司,54383243,第一一四九分公司,臺北市松山區民生東路4段76號,3,121.552678,25.057874
22853565,來來超商股份有限公司,54385100,第一一四0分公司,基隆市中正區祥豐街95之6號,1,121.7639129,25.1422004
22853565,來來超商股份有限公司,54385164,第一一四三分公司,臺北市萬華區萬大路279、281號,3,121.5006227,25.0253374
22853565,來來超商股份有限公司,54385523,第一一六二分公司,新北市新莊區西盛街379、381號,3,121.4280486,25.0133307
22853565,來來超商股份有限公司,54385592,第一一四七分公司,基隆市信義區東信路294、296號,1,121.7611047,25.1287462
22853565,來來超商股份有限公司,54386255,第一一五二分公司,新竹市東大路3段502、504號,1,120.9704055,24.8098865
22853565,來來超商股份有限公司,54386277,第一一五六分公司,新北市土城區明德路2段207號,1,121.4464978,24.9835766
22853565,來來超商股份有限公司,54386327,第一一六三分公司,彰化縣員林市大同路2段2號,3,120.5790656,23.9666406
22853565,來來超商股份有限公司,54386348,第一一五0分公司,彰化縣永靖鄉永福路1段140、142號,1,120.541623,23.9209701
22853565,來來超商股份有限公司,54387368,第一一七九分公司,宜蘭縣蘇澳鎮大同路106號,1,121.8346731,24.6211334
22853565,來來超商股份有限公司,54387509,第一一五三分公司,臺中市西區華美街237號,1,120.658616,24.148372
22853565,來來超商股份有限公司,54387901,第一一0七分公司,桃園市大園區和平東路2號,1,121.1994199,25.060234
22853565,來來超商股份有限公司,54388021,第一一七五分公司,臺中市中區民族路193、195號,1,120.6770229,24.1417713
22853565,來來超商股份有限公司,54388177,第一一七一分公司,嘉義市西區博愛路2段2號、北興街151號,3,120.4342854,23.4757257
22853565,來來超商股份有限公司,54389160,第一一七二分公司,桃園市大溪區康莊路322、324、326號,1,121.2872781,24.8770031
22853565,來來超商股份有限公司,54389295,第一一七六分公司,高雄市前金區7賢2路203號,1,120.2938839,22.6323978
22853565,來來超商股份有限公司,54390455,第一一八七分公司,高雄市鼓山區馬卡道路352號,1,120.2861475,22.663622
22853565,來來超商股份有限公司,54390645,第一一七七分公司,桃園市觀音區中興路17號、19之1號,1,121.080537,25.037613
22853565,來來超商股份有限公司,54390835,第一一五八分公司,臺北市萬華區開封街2段80號、80之1號,1,121.504788,25.047019
22853565,來來超商股份有限公司,54390883,第一一九三分公司,桃園市楊梅區梅獅路2段198號、232巷2號,3,121.1772126,24.9058436
22853565,來來超商股份有限公司,54391150,第一一四五分公司,新北市8里區觀海大道37號,1,121.4295305,25.1607325
22853565,來來超商股份有限公司,54391291,第一一六0分公司,臺中市北屯區梅川東路4段101號、102號,1,120.6800891,24.1743266
22853565,來來超商股份有限公司,54392572,第一一九五分公司,新北市汐止區大同路1段331、333號,1,121.638892,25.0593867
22853565,來來超商股份有限公司,54392600,第一一八O分公司,新竹市民生路197、199號,1,120.9759764,24.8113326
22853565,來來超商股份有限公司,54392616,第一一九二分公司,桃園市龍潭區民族路380、382號,1,121.2337829,24.8366044
22853565,來來超商股份有限公司,54394473,第一一三五分公司,新北市新店區北新路2段198號,3,121.543124,24.97662
22853565,來來超商股份有限公司,54395178,第一一二一分公司,臺北市信義區富陽街65、67號,1,121.5565272,25.021863
22853565,來來超商股份有限公司,54395640,第一一一O分公司,臺北市士林區中正路422號,3,121.519544,25.093394
22853565,來來超商股份有限公司,54397582,第一一九六分公司,高雄市鹽埕區大義街21號,1,120.2849241,22.6194324
22853565,來來超商股份有限公司,54911568,第一三六四分公司,臺東縣臺東市傳廣路119、119-1號,3,121.1437974,22.7589813
22853565,來來超商股份有限公司,54911764,第一三六六分公司,高雄市前金區新盛1街28號,1,120.296445,22.6306943
22853565,來來超商股份有限公司,54914312,第一三七五分公司,基隆市安樂區武聖街110號、112號,1,121.6970216,25.1591019
22853565,來來超商股份有限公司,54915142,第一三七四分公司,宜蘭縣頭城鎮開蘭路220號、220之1號,1,121.8258467,24.8610007
22853565,來來超商股份有限公司,54915277,第一三七一分公司,臺中市大甲區興安路102號、新政路411號,1,120.613427,24.3482564
22853565,來來超商股份有限公司,54915564,第一三七三分公司,新北市新店區華城路501號2樓,1,121.5029809,24.914294
22853565,來來超商股份有限公司,54915641,第一二八八分公司,彰化縣田尾鄉光復路1段96號,1,120.5679241,23.8890105
22853565,來來超商股份有限公司,54916613,第一三七O分公司,南投縣南投市彰南路3段802、804號,1,120.6682898,23.9413145
22853565,來來超商股份有限公司,70744898,第四一二分公司,彰化縣彰化市孔門路16、18號,1,120.544075,24.0783818
22853565,來來超商股份有限公司,70745046,第四一四分公司,基隆市中正區祥豐街95－1、95－2號,3,121.7639129,25.1422004
22853565,來來超商股份有限公司,70745051,第四一五分公司,臺北市士林區華齡街2巷20號,3,121.521443,25.0845353
22853565,來來超商股份有限公司,70745067,第四一三分公司,新竹縣竹東鎮東林路48號,1,121.0899701,24.7368706
22853565,來來超商股份有限公司,70745123,第四一六分公司,桃園市桃園區國豐6街十4號,3,121.277708,24.989275
22853565,來來超商股份有限公司,70745221,第四０八分公司,高雄市苓雅區自強3路3號十2樓之25、26,3,120.300315,22.611518
22853565,來來超商股份有限公司,70745236,第四一七分公司,新北市3重區永福街195號,3,121.4793202,25.0747366
22853565,來來超商股份有限公司,70745355,第四一八分公司,新北市永和區保福路2段135號,3,121.509617,25.0140009
22853565,來來超商股份有限公司,70745849,第四百一十九分公司,新竹市興學街117、119、121號2樓,3,120.967057,24.796283
22853565,來來超商股份有限公司,70746050,第四二０分公司,新北市汐止區大同路3段611號之5、之6,3,121.6832796,25.0754845
22853565,來來超商股份有限公司,70746066,第四二一分公司,新北市新莊區8德街111號,1,121.4241903,25.0209846
22853565,來來超商股份有限公司,70746072,第四二二分公司,新北市永和區保平路18巷12號,3,121.512109,25.007968
22853565,來來超商股份有限公司,70746087,第四二三分公司,桃園市中壢區龍東路447號,3,121.2564248,24.9343672
22853565,來來超商股份有限公司,70746143,第四二四分公司,桃園市中壢區復華街55號,3,121.247508,24.969709
22853565,來來超商股份有限公司,70746523,第四一一分公司,桃園市龍潭區民族路412號,3,121.2335768,24.8362304
22853565,來來超商股份有限公司,70746642,第四二六分公司,臺中市豐原區中正路216號,3,120.717819,24.252103
22853565,來來超商股份有限公司,70746657,第四二五分公司,高雄市鼓山區華泰路156號,3,120.29225,22.668392
22853565,來來超商股份有限公司,70746994,第四二七分公司,高雄市3民區大順2路973、975號,1,120.316073,22.65511
22853565,來來超商股份有限公司,70747179,第四三０分公司,臺北市文山區木新路2段242號,1,121.5666065,24.983348
22853565,來來超商股份有限公司,70747184,第四二九分公司,新北市永和區永和路2段298號,3,121.5162568,25.0157236
22853565,來來超商股份有限公司,70747425,第三九０分公司,臺中市神岡區中山路1590號,3,120.6556249,24.2589119
22853565,來來超商股份有限公司,70747797,第四三一分公司,基隆市仁愛區孝3路54、56號 ,3,121.739468,25.130887
22853565,來來超商股份有限公司,70747804,第四三二分公司,基隆市仁愛區南榮路387號,1,121.74398,25.1182969
22853565,來來超商股份有限公司,70747874,第四百二十八分公司,新竹市北門街137號,3,120.9650467,24.8087581
22853565,來來超商股份有限公司,70748085,第四三五分公司,基隆市信義區仁4路62號,3,121.7822278,25.1284336
22853565,來來超商股份有限公司,70748091,第四三四分公司,桃園市龜山區復興街174號,3,121.359959,25.062738
22853565,來來超商股份有限公司,70748108,第四三七分公司,基隆市信義區東信路156號,3,121.7653226,25.1279063
22853565,來來超商股份有限公司,70748114,第四三六分公司,臺北市中正區同安街69巷2號,1,121.5214075,25.0235457
22853565,來來超商股份有限公司,70748579,第四五０分公司,基隆市中正區中船路82號,3,121.7512118,25.1374818
22853565,來來超商股份有限公司,70748584,第四三九分公司,基隆市中正區中正路564號,3,121.7650889,25.1501167
22853565,來來超商股份有限公司,70748590,第四四二分公司,高雄市3民區憲政路340號,3,120.318083,22.636672
22853565,來來超商股份有限公司,70748607,第四百三十八分公司,新竹縣竹東鎮中正路1號,3,121.0918103,24.7296801
